Stature,Head breadth,Head depth,Head circumference,Face length
1865.0,155.0,207.0,595.0,123.0
1704.0,157.0,204.0,591.0,125.0
1749.0,154.0,209.0,596.0,124.0
1849.0,153.0,211.0,590.0,128.0
1765.0,163.0,218.0,622.0,129.0
1596.0,151.0,194.0,564.0,112.0
1872.0,161.0,208.0,592.0,130.0
1772.0,164.0,193.0,576.0,118.0
1805.0,151.0,208.0,596.0,125.0
1642.0,155.0,186.0,554.0,114.0
1453.0,139.0,187.0,533.0,108.0
1674.0,175.0,188.0,582.0,115.0
1663.0,144.0,189.0,537.0,102.0
1751.0,150.0,195.0,561.0,117.0
1838.0,166.0,199.0,594.0,125.0
1644.0,147.0,192.0,572.0,121.0
1606.0,148.0,180.0,533.0,111.0
1811.0,155.0,195.0,572.0,123.0
1644.0,146.0,201.0,565.0,115.0
1876.0,155.0,204.0,590.0,115.0
1686.0,152.0,195.0,570.0,116.0
1746.0,140.0,190.0,542.0,121.0
1774.0,153.0,197.0,569.0,138.0
1724.0,143.0,202.0,572.0,114.0
1772.0,152.0,192.0,564.0,123.0
1652.0,144.0,187.0,548.0,109.0
1541.0,141.0,180.0,530.0,112.0
1625.0,154.0,190.0,562.0,105.0
1746.0,155.0,195.0,566.0,120.0
1852.0,157.0,201.0,584.0,125.0
1784.0,153.0,204.0,578.0,118.0
1572.0,149.0,192.0,563.0,115.0
1715.0,158.0,210.0,595.0,119.0
1687.0,147.0,198.0,565.0,113.0
1620.0,154.0,202.0,575.0,112.0
1695.0,144.0,189.0,552.0,120.0
1621.0,158.0,198.0,587.0,112.0
1761.0,157.0,213.0,600.0,109.0
1780.0,150.0,196.0,565.0,111.0
1730.0,151.0,190.0,555.0,110.0
1740.0,156.0,194.0,570.0,124.0
1577.0,143.0,178.0,520.0,106.0
1760.0,153.0,196.0,569.0,115.0
1591.0,137.0,187.0,521.0,116.0
1627.0,149.0,184.0,555.0,119.0
1828.0,159.0,197.0,568.0,129.0
1793.0,145.0,198.0,558.0,126.0
1756.0,166.0,197.0,590.0,124.0
1522.0,155.0,178.0,551.0,108.0
1854.0,156.0,203.0,599.0,122.0
1715.0,146.0,195.0,560.0,125.0
1676.0,147.0,195.0,580.0,119.0
1597.0,162.0,194.0,570.0,126.0
1635.0,155.0,190.0,564.0,126.0
1708.0,144.0,198.0,556.0,120.0
1664.0,150.0,187.0,547.0,106.0
1559.0,143.0,180.0,528.0,107.0
1603.0,139.0,188.0,555.0,108.0
1820.0,152.0,205.0,583.0,121.0
1612.0,143.0,193.0,552.0,112.0
1752.0,152.0,198.0,563.0,106.0
1775.0,151.0,191.0,557.0,123.0
1910.0,158.0,197.0,573.0,121.0
1656.0,143.0,179.0,522.0,112.0
1827.0,164.0,211.0,600.0,132.0
1839.0,159.0,197.0,573.0,119.0
1648.0,152.0,191.0,566.0,115.0
1622.0,141.0,195.0,551.0,112.0
1560.0,158.0,180.0,548.0,111.0
1793.0,154.0,204.0,589.0,118.0
1765.0,160.0,192.0,580.0,123.0
1689.0,157.0,184.0,554.0,118.0
1730.0,162.0,199.0,582.0,118.0
1712.0,155.0,205.0,578.0,120.0
1740.0,154.0,199.0,576.0,116.0
1734.0,143.0,192.0,549.0,120.0
1777.0,160.0,200.0,583.0,145.0
1688.0,149.0,199.0,570.0,129.0
1566.0,141.0,190.0,544.0,111.0
1869.0,151.0,193.0,558.0,123.0
1674.0,156.0,202.0,585.0,120.0
1630.0,146.0,180.0,532.0,103.0
1805.0,154.0,205.0,587.0,119.0
1668.0,144.0,194.0,548.0,113.0
1742.0,158.0,185.0,563.0,132.0
1523.0,154.0,170.0,520.0,112.0
1901.0,151.0,205.0,585.0,111.0
1564.0,152.0,179.0,532.0,108.0
1836.0,159.0,214.0,606.0,127.0
1657.0,153.0,200.0,577.0,122.0
1847.0,162.0,215.0,616.0,131.0
1722.0,147.0,190.0,554.0,108.0
1825.0,143.0,195.0,554.0,117.0
1928.0,152.0,211.0,589.0,133.0
1692.0,151.0,195.0,555.0,121.0
1849.0,151.0,187.0,556.0,111.0
1620.0,140.0,178.0,531.0,113.0
1615.0,156.0,191.0,563.0,119.0
1766.0,151.0,204.0,593.0,125.0
1584.0,149.0,181.0,538.0,116.0
1548.0,145.0,188.0,553.0,111.0
