Stature,Head breadth,Head depth,Head circumference,Face length
1830.0,149.0,198.0,572.0,128.0
1688.0,149.0,201.0,554.0,124.0
1506.0,141.0,172.0,527.0,93.0
1704.0,148.0,185.0,540.0,118.0
1729.0,142.0,193.0,551.0,110.0
1685.0,152.0,203.0,583.0,119.0
1744.0,154.0,203.0,584.0,123.0
1834.0,152.0,201.0,571.0,119.0
1678.0,148.0,193.0,557.0,114.0
1840.0,160.0,202.0,592.0,131.0
1640.0,150.0,200.0,581.0,111.0
1574.0,151.0,197.0,563.0,108.0
1594.0,140.0,198.0,551.0,107.0
1707.0,147.0,187.0,546.0,116.0
1887.0,160.0,190.0,569.0,126.0
1788.0,156.0,208.0,591.0,131.0
1639.0,139.0,183.0,549.0,111.0
1908.0,152.0,202.0,575.0,131.0
1768.0,155.0,202.0,580.0,124.0
1617.0,162.0,203.0,587.0,129.0
1537.0,141.0,188.0,542.0,105.0
1749.0,151.0,193.0,557.0,121.0
1696.0,163.0,195.0,590.0,121.0
1596.0,137.0,190.0,557.0,111.0
1590.0,145.0,181.0,544.0,109.0
1780.0,152.0,195.0,559.0,116.0
1736.0,151.0,191.0,561.0,125.0
1805.0,160.0,192.0,571.0,112.0
1716.0,145.0,199.0,580.0,123.0
1821.0,156.0,201.0,591.0,128.0
1789.0,143.0,200.0,567.0,112.0
1778.0,146.0,201.0,561.0,127.0
1667.0,145.0,189.0,543.0,120.0
1720.0,146.0,200.0,560.0,110.0
1544.0,150.0,177.0,539.0,117.0
1709.0,161.0,207.0,598.0,120.0
1705.0,156.0,190.0,574.0,114.0
1602.0,145.0,185.0,550.0,110.0
1671.0,155.0,190.0,555.0,119.0
1651.0,150.0,187.0,547.0,122.0
1610.0,151.0,180.0,563.0,110.0
1778.0,148.0,207.0,575.0,137.0
1776.0,148.0,188.0,546.0,114.0
1545.0,152.0,195.0,577.0,106.0
1619.0,152.0,190.0,565.0,110.0
1697.0,141.0,188.0,545.0,105.0
1623.0,146.0,178.0,528.0,106.0
1736.0,143.0,187.0,545.0,109.0
1609.0,146.0,192.0,562.0,116.0
1659.0,148.0,186.0,568.0,118.0
1682.0,142.0,188.0,549.0,115.0
1639.0,146.0,195.0,563.0,127.0
1770.0,145.0,193.0,549.0,124.0
1671.0,165.0,205.0,595.0,120.0
1668.0,152.0,201.0,568.0,121.0
1640.0,156.0,192.0,555.0,126.0
1593.0,156.0,192.0,553.0,111.0
1703.0,156.0,191.0,569.0,119.0
1703.0,167.0,196.0,583.0,132.0
1846.0,150.0,195.0,565.0,137.0
1571.0,141.0,178.0,529.0,113.0
1685.0,148.0,186.0,541.0,114.0
1669.0,160.0,200.0,575.0,116.0
1523.0,145.0,186.0,559.0,109.0
1570.0,141.0,176.0,527.0,111.0
1728.0,153.0,203.0,578.0,118.0
1712.0,142.0,191.0,553.0,113.0
1735.0,160.0,196.0,575.0,123.0
1654.0,154.0,212.0,593.0,128.0
1703.0,158.0,196.0,578.0,122.0
1475.0,161.0,199.0,571.0,114.0
1505.0,142.0,182.0,545.0,107.0
1715.0,160.0,199.0,579.0,120.0
1739.0,163.0,183.0,554.0,123.0
1707.0,149.0,215.0,592.0,131.0
1798.0,160.0,201.0,581.0,127.0
1795.0,162.0,206.0,613.0,128.0
1580.0,145.0,197.0,555.0,105.0
1680.0,150.0,198.0,571.0,121.0
1621.0,143.0,183.0,545.0,109.0
1699.0,149.0,192.0,549.0,127.0
1610.0,151.0,193.0,557.0,110.0
1685.0,152.0,194.0,561.0,122.0
1628.0,147.0,187.0,549.0,104.0
1619.0,147.0,187.0,561.0,121.0
1576.0,142.0,184.0,531.0,109.0
1596.0,149.0,176.0,539.0,120.0
1671.0,145.0,194.0,555.0,115.0
1695.0,142.0,185.0,550.0,109.0
1849.0,149.0,201.0,575.0,121.0
1558.0,143.0,184.0,547.0,107.0
1702.0,153.0,186.0,561.0,113.0
1806.0,144.0,196.0,555.0,111.0
1593.0,150.0,191.0,562.0,115.0
1531.0,145.0,183.0,534.0,110.0
1636.0,150.0,198.0,567.0,113.0
1629.0,144.0,184.0,540.0,115.0
1655.0,146.0,185.0,562.0,113.0
1701.0,151.0,191.0,550.0,127.0
1694.0,145.0,179.0,544.0,105.0
1680.0,157.0,204.0,594.0,123.0
1635.0,149.0,180.0,541.0,109.0
1754.0,148.0,193.0,564.0,108.0
1698.0,137.0,171.0,519.0,118.0
1714.0,154.0,180.0,554.0,118.0
1488.0,157.0,181.0,559.0,105.0
1547.0,142.0,186.0,543.0,112.0
1644.0,141.0,193.0,560.0,106.0
1780.0,145.0,205.0,578.0,125.0
1626.0,153.0,186.0,568.0,108.0
1667.0,150.0,201.0,582.0,127.0
1560.0,149.0,192.0,556.0,118.0
1616.0,147.0,185.0,550.0,107.0
1590.0,137.0,178.0,524.0,110.0
1683.0,162.0,185.0,567.0,123.0
1559.0,142.0,180.0,530.0,114.0
1664.0,149.0,200.0,566.0,119.0
1574.0,142.0,189.0,538.0,107.0
1720.0,143.0,186.0,546.0,110.0
1660.0,146.0,184.0,544.0,121.0
1619.0,149.0,188.0,555.0,110.0
1645.0,148.0,187.0,551.0,107.0
1649.0,150.0,189.0,545.0,110.0
1741.0,150.0,196.0,562.0,120.0
1766.0,138.0,194.0,552.0,120.0
1530.0,153.0,180.0,550.0,110.0
1769.0,163.0,205.0,597.0,122.0
1603.0,145.0,187.0,542.0,112.0
1834.0,160.0,192.0,578.0,121.0
1530.0,136.0,185.0,532.0,102.0
1729.0,151.0,197.0,565.0,123.0
1785.0,155.0,196.0,578.0,117.0
1656.0,162.0,188.0,570.0,116.0
1765.0,147.0,198.0,569.0,122.0
1703.0,159.0,206.0,601.0,113.0
1786.0,148.0,206.0,588.0,127.0
1684.0,147.0,196.0,568.0,115.0
1815.0,153.0,200.0,585.0,124.0
1787.0,151.0,193.0,550.0,117.0
1742.0,156.0,197.0,575.0,121.0
1663.0,150.0,187.0,555.0,113.0
1715.0,155.0,194.0,575.0,117.0
1560.0,142.0,196.0,555.0,109.0
1693.0,162.0,188.0,565.0,137.0
1669.0,145.0,191.0,545.0,114.0
1545.0,133.0,181.0,506.0,107.0
1484.0,151.0,151.0,463.0,104.0
1730.0,151.0,194.0,561.0,130.0
1747.0,148.0,205.0,582.0,126.0
1549.0,153.0,181.0,546.0,110.0
1645.0,144.0,178.0,543.0,113.0
1770.0,156.0,195.0,582.0,120.0
1660.0,140.0,186.0,536.0,105.0
1623.0,141.0,187.0,543.0,122.0
1687.0,142.0,184.0,545.0,117.0
1760.0,158.0,187.0,565.0,126.0
1764.0,147.0,182.0,543.0,116.0
1569.0,146.0,185.0,549.0,120.0
1643.0,158.0,198.0,566.0,132.0
1585.0,146.0,173.0,536.0,108.0
1755.0,154.0,195.0,557.0,116.0
1873.0,152.0,204.0,584.0,126.0
1720.0,145.0,196.0,552.0,106.0
