"Reach height, standing",Stature,"Eye height, standing","Elbow height, standing","Thigh clearance, sitting","Elbow height, sitting","Popliteal height, sitting","Eye height, sitting",Sitting height,Reach depth,Breadth over the elbows,Hip breadth,"Hip breadth, sitting",Chest depth,Elbow-grip length,Buttock-popliteal depth,"Buttock-knee depth, sitting","Buttock foot length, sitting",Hand length,Forefinger breadth,Hand width (with thumb),Hand thickness,Length pointing finger,Body mass,Maximum gripping force
2214.0,1830.0,1709.0,714.0,137.0,219.0,495.0,816.0,940.0,791.0,425.0,321.0,335.0,217.0,373.0,515.0,660.0,1151.0,194.0,15.0,105.0,28.0,70.0,71.0,49.0
2115.0,1811.0,1675.0,750.0,121.0,248.0,502.0,826.0,961.0,700.0,444.0,313.0,335.0,236.0,302.0,481.0,606.0,1076.0,184.0,17.0,101.0,28.0,72.0,68.2,40.0
2203.0,1885.0,1742.0,735.0,141.0,206.0,529.0,830.0,965.0,785.0,426.0,351.0,348.0,238.0,376.0,515.0,650.0,1135.0,188.0,17.0,110.0,30.0,74.0,79.5,54.0
2114.0,1782.0,1655.0,728.0,132.0,247.0,481.0,820.0,942.0,729.0,414.0,350.0,351.0,210.0,356.0,503.0,627.0,1070.0,176.0,14.0,95.0,24.0,70.0,63.3,42.0
2197.0,1775.0,1658.0,674.0,149.0,185.0,489.0,788.0,897.0,756.0,455.0,351.0,359.0,269.0,364.0,535.0,653.0,1124.0,197.0,14.0,108.0,27.0,73.0,79.4,42.0
2167.0,1784.0,1665.0,684.0,138.0,237.0,447.0,828.0,950.0,806.0,432.0,337.0,351.0,224.0,348.0,491.0,628.0,1095.0,179.0,15.0,100.0,28.0,66.0,72.7,44.0
2160.0,1828.0,1670.0,736.0,134.0,240.0,496.0,832.0,969.0,770.0,446.0,340.0,343.0,217.0,365.0,492.0,654.0,1115.0,198.0,16.0,113.0,27.0,77.0,74.6,58.0
2045.0,1743.0,1622.0,726.0,138.0,264.0,462.0,790.0,916.0,693.0,430.0,319.0,341.0,222.0,339.0,489.0,590.0,1042.0,181.0,14.0,102.0,27.0,69.0,70.2,61.0
2252.0,1930.0,1789.0,755.0,128.0,247.0,508.0,860.0,995.0,807.0,460.0,353.0,360.0,224.0,304.0,544.0,678.0,1172.0,188.0,15.0,107.0,29.0,78.0,74.9,62.0
1970.0,1658.0,1538.0,612.0,148.0,170.0,442.0,697.0,841.0,723.0,470.0,347.0,376.0,264.0,325.0,526.0,624.0,1032.0,170.0,15.0,92.0,26.0,65.0,68.5,36.0
2224.0,1876.0,1737.0,760.0,143.0,263.0,497.0,843.0,975.0,759.0,461.0,329.0,338.0,216.0,378.0,520.0,652.0,1127.0,191.0,16.0,108.0,34.0,78.0,76.5,64.0
2224.0,1862.0,1704.0,752.0,144.0,250.0,502.0,844.0,986.0,804.0,452.0,340.0,350.0,223.0,360.0,492.0,619.0,1120.0,183.0,14.0,104.0,30.0,74.0,77.7,62.0
2145.0,1819.0,1670.0,708.0,146.0,248.0,460.0,869.0,979.0,742.0,424.0,336.0,339.0,223.0,351.0,500.0,625.0,1060.0,173.0,16.0,97.0,27.0,71.0,71.6,46.0
1922.0,1638.0,1525.0,668.0,127.0,242.0,426.0,748.0,872.0,677.0,384.0,302.0,327.0,207.0,331.0,467.0,587.0,976.0,163.0,14.0,89.0,26.0,65.0,55.4,32.0
2260.0,1887.0,1767.0,756.0,146.0,244.0,512.0,829.0,955.0,791.0,488.0,348.0,355.0,237.0,372.0,511.0,664.0,1182.0,187.0,16.0,110.0,28.0,68.0,78.9,52.0
2038.0,1721.0,1603.0,646.0,130.0,196.0,450.0,776.0,899.0,747.0,426.0,310.0,328.0,206.0,341.0,479.0,600.0,1035.0,174.0,18.0,97.0,29.0,67.0,61.5,51.0
1984.0,1656.0,1548.0,650.0,136.0,232.0,418.0,765.0,886.0,682.0,444.0,327.0,335.0,221.0,330.0,452.0,580.0,987.0,164.0,13.0,99.0,31.0,61.0,66.0,59.0
1721.0,1488.0,1385.0,601.0,113.0,214.0,387.0,655.0,782.0,638.0,374.0,290.0,308.0,206.0,319.0,428.0,523.0,877.0,164.0,11.0,84.0,25.0,63.0,43.4,39.0
2182.0,1809.0,1688.0,711.0,125.0,221.0,490.0,787.0,910.0,737.0,419.0,316.0,321.0,229.0,358.0,502.0,640.0,1149.0,190.0,15.0,103.0,28.0,74.0,61.5,52.0
2017.0,1689.0,1571.0,734.0,120.0,254.0,480.0,733.0,868.0,677.0,398.0,314.0,336.0,203.0,324.0,494.0,605.0,1036.0,175.0,12.0,82.0,22.0,68.0,54.5,38.0
2150.0,1815.0,1668.0,735.0,129.0,247.0,488.0,850.0,965.0,745.0,416.0,315.0,336.0,217.0,367.0,490.0,617.0,1074.0,195.0,16.0,108.0,29.0,77.0,67.5,48.0
2221.0,1811.0,1496.0,746.0,127.0,230.0,516.0,803.0,915.0,775.0,473.0,329.0,354.0,223.0,385.0,507.0,631.0,1100.0,186.0,15.0,105.0,28.0,74.0,67.6,52.0
