Stature,Arm length,Shoulder breadth (bi-deltoid),Head breadth,Head depth,Head circumference,Neck base circumference,Chest circumference,Waist circumference,Hip circumference,Body mass,Crotch height,Thigh circumference,Face length,Nasal root breadth,Nose length,Nose bridge length,Nasal tip protrusion,Nose width,Bigonial breadth,Bitragion breadth,Nasal root protrusion,Relative Nasal Tip Protrusion
1849.0,641.0,527.0,147.0,186.0,572.0,490.0,1202.0,1080.0,1249.0,119.3,868.0,780.0,105.0,28.33,47.905,39.859,19.051,36.496,137.251,154.173,11.976,39.768
1650.0,565.0,405.0,147.0,193.0,557.0,415.0,970.0,789.0,1014.0,65.1,759.0,580.0,97.0,25.086,46.052,38.689,18.869,34.803,108.601,157.24,11.455,40.973
1742.0,600.0,421.0,155.0,191.0,565.0,398.0,891.0,722.0,1055.0,68.3,794.0,599.0,113.0,26.929,46.312,38.835,19.196,34.631,111.839,152.073,13.313,41.45
1956.0,669.0,477.0,150.0,195.0,577.0,495.0,1030.0,941.0,1017.0,90.0,926.0,600.0,126.0,29.473,51.842,43.756,21.557,36.199,123.568,151.906,18.145,41.582
1815.0,631.0,471.0,153.0,201.0,569.0,513.0,1084.0,910.0,1028.0,84.9,863.0,561.0,126.0,26.943,49.889,41.037,18.956,38.574,123.403,149.74,15.801,37.995
1850.0,644.0,442.0,149.0,193.0,556.0,473.0,1005.0,927.0,1034.0,82.2,876.0,581.0,110.0,27.59,48.96,41.341,21.015,37.511,120.657,148.435,18.908,42.923
1880.0,663.0,460.0,145.0,195.0,558.0,474.0,973.0,915.0,973.0,78.5,862.0,544.0,119.0,24.545,54.223,45.559,21.322,36.049,124.177,155.297,15.43,39.323
1718.0,582.0,421.0,141.0,189.0,542.0,423.0,989.0,891.0,1043.0,73.3,833.0,612.0,107.0,26.94,46.648,37.713,18.463,34.078,111.092,146.81,11.89,39.579
1679.0,569.0,421.0,140.0,189.0,552.0,482.0,1031.0,847.0,990.0,67.8,769.0,579.0,110.0,23.173,53.537,46.101,21.309,33.901,116.121,154.604,15.728,39.803
1653.0,570.0,411.0,143.0,186.0,533.0,491.0,946.0,882.0,1065.0,64.6,767.0,582.0,107.0,22.058,47.816,39.55,17.976,33.725,116.877,138.377,10.903,37.593
1622.0,558.0,471.0,160.0,200.0,589.0,469.0,980.0,850.0,987.0,70.1,674.0,556.0,124.0,25.951,52.088,43.155,19.133,34.526,126.661,151.111,12.699,36.732
