Stature,"Eye height, standing",Shoulder height,"Elbow height, standing","Fist height, standing","Thigh clearance, sitting",Shoulder-elbow length,"Elbow height, sitting","Popliteal height, sitting","Shoulder height, sitting","Eye height, sitting",Sitting height,Reach depth,Arm length,Breadth over the elbows,Shoulder breadth (bi-deltoid),"Hip breadth, sitting",Abdominal depth,Elbow-grip length,Buttock-popliteal depth,"Buttock-knee depth, sitting",Foot length,Foot breadth,Hand length,Hand width (without thumb),Thumb breadth,Forefinger breadth,Grip circumference,Ear length,Body mass,Maximum gripping force,Pushing force with 2 hands,Pulling force 1 hand,Torque with two hands,Rotation of head towards left,Rotation of head towards right,Rotation of head backwards,Rotation of head toward chest,Bending of head towards right shoulder,Bending of head towards left shoulder,Pronation,Supination,Extension hand,Flexion hand,Radial deviation,Ulnar deviation,Forefinger flexion,Step-up height
1634.0,1543.0,1358.0,1038.0,754.0,119.0,320.0,243.0,449.0,563.0,748.0,839.0,434.0,696.0,497.0,438.0,388.0,360.0,318.0,487.0,632.0,239.0,105.0,176.0,81.0,21.0,17.0,10.0,74.0,75.6,216.0,216.0,161.0,4.0,50.0,47.0,51.0,24.0,20.0,24.0,93.0,72.0,61.0,48.0,52.0,41.0,61.0,170.0
1525.0,1438.0,1280.0,941.0,696.0,146.0,339.0,235.0,389.0,574.0,732.0,819.0,420.0,683.0,541.0,405.0,436.0,346.0,310.0,465.0,574.0,225.0,90.0,163.0,82.0,20.0,17.0,10.0,59.0,75.9,186.0,284.0,243.0,5.0,41.0,41.0,58.0,19.0,28.0,24.0,130.0,68.0,50.0,64.0,16.0,23.0,47.0,120.0
1712.0,1612.0,1425.0,1059.0,761.0,110.0,366.0,210.0,511.0,576.0,763.0,863.0,489.0,,459.0,458.0,369.0,309.0,334.0,485.0,625.0,289.0,101.0,206.0,93.0,23.0,18.0,13.0,78.0,67.6,275.0,221.0,139.0,3.0,37.0,34.0,60.0,10.0,15.0,8.0,115.0,73.0,52.0,70.0,46.0,7.0,59.0,210.0
1744.0,1639.0,1454.0,1075.0,748.0,141.0,379.0,232.0,502.0,612.0,797.0,901.0,452.0,754.0,455.0,438.0,388.0,257.0,330.0,485.0,609.0,263.0,102.0,191.0,91.0,24.0,21.0,11.0,76.0,68.6,373.0,402.0,389.0,5.0,39.0,56.0,55.0,23.0,24.0,21.0,106.0,85.0,73.0,79.0,46.0,30.0,58.0,170.0
1784.0,1695.0,1463.0,1094.0,790.0,137.0,369.0,287.0,476.0,656.0,888.0,977.0,482.0,752.0,497.0,465.0,397.0,315.0,354.0,500.0,618.0,283.0,101.0,200.0,95.0,25.0,17.0,14.0,75.0,85.1,441.0,491.0,386.0,5.0,53.0,60.0,49.0,38.0,35.0,37.0,101.0,76.0,58.0,51.0,37.0,23.0,67.0,210.0
1817.0,1706.0,1510.0,1131.0,794.0,121.0,379.0,239.0,505.0,618.0,814.0,926.0,490.0,765.0,418.0,431.0,349.0,211.0,348.0,525.0,661.0,272.0,98.0,189.0,91.0,24.0,17.0,14.0,71.0,55.2,284.0,211.0,206.0,2.0,62.0,62.0,59.0,40.0,31.0,28.0,92.0,79.0,28.0,66.0,39.0,13.0,64.0,210.0
1514.0,1418.0,1213.0,900.0,647.0,148.0,313.0,203.0,387.0,516.0,721.0,817.0,416.0,632.0,494.0,393.0,435.0,275.0,301.0,462.0,560.0,215.0,86.0,162.0,78.0,18.0,14.0,10.0,65.0,65.0,186.0,245.0,173.0,4.0,55.0,52.0,61.0,51.0,39.0,34.0,114.0,64.0,54.0,60.0,43.0,16.0,45.0,120.0
1617.0,1532.0,1358.0,1033.0,701.0,124.0,325.0,230.0,449.0,556.0,730.0,814.0,428.0,754.0,372.0,381.0,384.0,251.0,342.0,469.0,572.0,235.0,86.0,168.0,79.0,21.0,14.0,,64.0,53.4,147.0,137.0,159.0,3.0,52.0,61.0,48.0,27.0,26.0,18.0,92.0,115.0,66.0,62.0,36.0,15.0,54.0,170.0
1864.0,1773.0,1539.0,1148.0,823.0,124.0,391.0,230.0,514.0,621.0,855.0,946.0,508.0,812.0,485.0,431.0,421.0,266.0,372.0,514.0,638.0,287.0,103.0,204.0,94.0,25.0,18.0,14.0,79.0,75.9,392.0,245.0,226.0,5.0,41.0,47.0,40.0,23.0,24.0,28.0,108.0,103.0,48.0,62.0,45.0,17.0,50.0,170.0
1795.0,1683.0,1463.0,1093.0,814.0,177.0,370.0,233.0,471.0,603.0,823.0,935.0,454.0,745.0,439.0,412.0,447.0,291.0,338.0,538.0,667.0,253.0,87.0,182.0,80.0,20.0,16.0,12.0,62.0,82.1,265.0,255.0,196.0,6.0,49.0,58.0,35.0,31.0,27.0,26.0,102.0,102.0,78.0,72.0,32.0,28.0,60.0,210.0
1646.0,1530.0,1334.0,984.0,703.0,121.0,350.0,217.0,447.0,567.0,763.0,879.0,434.0,687.0,464.0,431.0,370.0,277.0,334.0,467.0,583.0,248.0,94.0,188.0,83.0,20.0,15.0,12.0,68.0,64.6,314.0,186.0,152.0,2.0,46.0,49.0,38.0,23.0,20.0,9.0,145.0,100.0,72.0,67.0,42.0,35.0,41.0,170.0
1902.0,1795.0,1568.0,1180.0,832.0,170.0,388.0,248.0,511.0,636.0,863.0,970.0,530.0,794.0,489.0,507.0,423.0,224.0,391.0,511.0,643.0,267.0,103.0,207.0,88.0,23.0,18.0,16.0,63.0,93.1,559.0,623.0,392.0,7.0,61.0,77.0,71.0,31.0,37.0,34.0,114.0,112.0,68.0,76.0,47.0,27.0,55.0,170.0
1710.0,1610.0,1425.0,1053.0,756.0,137.0,372.0,193.0,469.0,565.0,750.0,850.0,464.0,707.0,452.0,384.0,427.0,260.0,347.0,511.0,621.0,251.0,100.0,178.0,84.0,21.0,16.0,12.0,65.0,69.8,245.0,147.0,152.0,1.0,25.0,34.0,30.0,34.0,22.0,22.0,48.0,59.0,32.0,71.0,9.0,13.0,38.0,120.0
1730.0,1639.0,1447.0,1083.0,752.0,168.0,364.0,259.0,480.0,623.0,814.0,906.0,462.0,712.0,482.0,446.0,455.0,306.0,349.0,523.0,638.0,257.0,103.0,182.0,86.0,25.0,17.0,13.0,68.0,83.2,334.0,314.0,334.0,9.0,50.0,58.0,67.0,42.0,47.0,42.0,109.0,71.0,59.0,78.0,59.0,19.0,63.0,170.0
1543.0,1445.0,1273.0,938.0,692.0,119.0,336.0,196.0,427.0,531.0,703.0,801.0,416.0,638.0,430.0,393.0,350.0,335.0,293.0,469.0,583.0,243.0,91.0,168.0,71.0,23.0,15.0,11.0,64.0,57.3,78.0,201.0,142.0,1.0,30.0,57.0,74.0,48.0,38.0,34.0,121.0,64.0,89.0,49.0,36.0,22.0,52.0,170.0
1643.0,1534.0,1327.0,970.0,750.0,137.0,357.0,179.0,440.0,536.0,743.0,852.0,449.0,721.0,534.0,448.0,427.0,326.0,314.0,534.0,645.0,255.0,96.0,186.0,83.0,21.0,18.0,13.0,72.0,80.4,294.0,299.0,277.0,6.0,59.0,63.0,54.0,42.0,31.0,23.0,115.0,63.0,55.0,72.0,48.0,26.0,52.0,170.0
1744.0,1652.0,1452.0,1060.0,788.0,135.0,392.0,202.0,500.0,594.0,794.0,886.0,472.0,788.0,495.0,457.0,398.0,295.0,358.0,502.0,623.0,288.0,103.0,194.0,101.0,29.0,21.0,11.0,68.0,81.6,402.0,368.0,332.0,10.0,52.0,46.0,56.0,35.0,32.0,34.0,115.0,69.0,39.0,29.0,47.0,9.0,54.0,210.0
1788.0,1688.0,1501.0,1143.0,803.0,130.0,358.0,320.0,478.0,678.0,866.0,966.0,487.0,721.0,442.0,441.0,378.0,284.0,349.0,491.0,603.0,266.0,100.0,194.0,86.0,21.0,16.0,13.0,68.0,76.0,432.0,363.0,293.0,9.0,72.0,63.0,60.0,21.0,26.0,25.0,79.0,97.0,75.0,89.0,56.0,28.0,58.0,170.0
1735.0,1625.0,1438.0,1100.0,801.0,144.0,339.0,244.0,471.0,583.0,770.0,879.0,458.0,696.0,436.0,416.0,436.0,251.0,317.0,520.0,638.0,257.0,95.0,183.0,83.0,24.0,16.0,12.0,74.0,72.4,186.0,265.0,275.0,4.0,43.0,49.0,53.0,37.0,35.0,29.0,105.0,67.0,70.0,59.0,43.0,23.0,60.0,170.0
1703.0,1608.0,1429.0,1075.0,759.0,139.0,355.0,255.0,465.0,609.0,788.0,883.0,475.0,745.0,493.0,441.0,393.0,338.0,353.0,500.0,641.0,262.0,96.0,184.0,91.0,26.0,19.0,14.0,86.0,81.1,353.0,368.0,286.0,4.0,48.0,57.0,68.0,35.0,31.0,37.0,149.0,84.0,70.0,55.0,42.0,16.0,63.0,210.0
1917.0,1801.0,1605.0,1180.0,861.0,133.0,425.0,255.0,534.0,681.0,877.0,993.0,516.0,826.0,496.0,452.0,422.0,304.0,387.0,520.0,667.0,286.0,107.0,211.0,95.0,26.0,20.0,14.0,80.0,93.5,608.0,417.0,384.0,9.0,48.0,62.0,48.0,48.0,38.0,37.0,115.0,71.0,55.0,73.0,44.0,22.0,59.0,210.0
1570.0,1476.0,1260.0,968.0,728.0,135.0,292.0,242.0,427.0,534.0,750.0,843.0,416.0,621.0,432.0,393.0,441.0,277.0,302.0,433.0,556.0,245.0,101.0,183.0,79.0,21.0,17.0,11.0,79.0,62.4,235.0,231.0,280.0,4.0,79.0,66.0,78.0,57.0,27.0,25.0,145.0,144.0,72.0,70.0,45.0,22.0,50.0,120.0
1639.0,1534.0,1349.0,1022.0,739.0,115.0,327.0,251.0,462.0,578.0,763.0,868.0,441.0,687.0,434.0,429.0,342.0,240.0,337.0,469.0,594.0,245.0,99.0,181.0,82.0,25.0,20.0,12.0,73.0,56.8,412.0,392.0,244.0,5.0,60.0,59.0,59.0,36.0,41.0,36.0,123.0,89.0,56.0,68.0,52.0,25.0,66.0,210.0
1666.0,1572.0,1363.0,1017.0,701.0,141.0,346.0,206.0,465.0,551.0,761.0,855.0,455.0,752.0,456.0,396.0,414.0,322.0,349.0,502.0,616.0,259.0,109.0,187.0,89.0,24.0,21.0,13.0,63.0,72.9,216.0,289.0,178.0,6.0,52.0,57.0,70.0,50.0,37.0,34.0,149.0,129.0,70.0,61.0,45.0,27.0,52.0,170.0
