Stature,Head height,Head breadth,Head depth,Head circumference,Body mass,Face length,Face width,Face length long,Lower face length,Intercanthal width,Nasal root breadth,Nose length,Nose bridge length,Nasal tip protrusion,Nose width,Width of mouth,Height of chin,Face length short,Sellion promentale length
870.0,177.0,132.0,178.0,503.0,11.2,99.22,103.0,85.3,54.97,30.38,19.04,30.33,20.61,11.081,27.36,37.78,20.93,64.37,76.32
840.0,171.0,131.0,156.0,467.0,11.3,86.97,93.0,77.43,51.07,29.96,19.62,26.36,17.26,9.889,27.06,34.46,18.66,58.77,69.97
1095.0,209.0,148.0,179.0,523.0,18.0,110.86,112.0,96.3,63.53,31.14,19.56,32.77,21.73,12.822,29.75,39.15,28.42,67.88,84.58
960.0,191.0,150.0,158.0,493.0,15.5,104.16,112.0,89.32,57.64,29.85,20.43,31.68,22.85,10.648,32.4,44.7,21.71,67.61,76.9
1140.0,183.0,140.0,179.0,513.0,22.9,105.15,121.0,93.28,58.65,34.8,22.77,34.63,25.2,12.399,30.06,40.28,28.55,64.73,77.49
980.0,169.0,143.0,181.0,525.0,16.0,103.58,110.0,88.59,55.13,35.0,21.6,33.46,22.79,12.69,26.0,33.66,21.63,66.96,79.48
970.0,175.0,132.0,168.0,490.0,13.6,98.04,104.0,83.21,52.59,32.06,19.57,30.62,21.28,11.396,27.01,37.34,24.63,58.58,73.06
1050.0,179.0,136.0,177.0,508.0,15.8,104.84,106.5,89.29,54.7,30.97,18.68,34.59,23.47,14.206,29.75,39.48,22.77,66.52,75.34
1111.0,186.0,141.0,173.0,513.0,19.4,99.68,117.0,90.26,56.4,31.11,20.08,33.86,23.14,13.448,27.89,39.93,26.64,63.62,76.19
980.0,189.0,136.0,168.0,498.0,15.5,93.8,113.0,83.98,52.28,31.87,19.67,31.7,20.42,13.691,30.55,37.25,20.09,63.89,74.08
900.0,161.0,146.0,132.0,436.0,11.5,103.13,108.0,83.23,52.21,26.17,15.54,31.02,22.09,10.917,24.75,33.45,21.61,61.62,71.39
935.0,171.0,138.0,169.0,498.0,14.1,103.36,103.0,83.39,52.31,28.61,18.71,31.08,20.79,12.246,25.71,34.99,19.62,63.77,70.92
1163.0,191.0,138.0,192.0,540.0,22.0,108.65,112.0,93.44,55.12,34.1,22.51,38.32,25.85,14.175,28.41,38.5,27.91,65.53,77.42
1257.5,190.0,147.0,181.0,528.0,22.0,110.95,117.0,97.83,55.14,33.55,20.59,42.69,31.43,14.503,30.62,40.68,23.94,73.89,88.28
1148.0,179.0,142.0,167.0,505.0,19.0,108.49,111.0,94.86,56.58,33.01,20.79,38.28,26.82,14.394,29.86,36.55,26.35,68.51,82.36
1185.0,186.0,141.0,176.0,510.0,21.0,98.34,108.0,84.08,49.28,36.66,22.52,34.8,22.23,15.684,27.5,43.47,20.59,63.49,74.47
1258.0,206.0,142.0,183.0,520.0,25.5,115.5,115.0,100.55,64.4,32.93,20.36,36.15,23.86,14.714,28.93,41.28,25.38,75.17,86.13
1259.0,187.0,145.0,172.0,505.0,24.5,114.77,112.0,97.84,56.5,33.85,21.08,41.34,27.46,17.213,28.34,33.07,21.94,75.9,84.98
1194.0,200.0,144.0,188.0,523.0,24.0,122.28,122.0,102.87,63.4,33.78,22.71,39.47,26.47,15.648,28.96,39.11,26.37,76.5,89.91
1144.0,192.0,133.0,170.0,485.0,20.0,101.3,101.0,85.08,53.27,26.95,19.22,31.81,18.99,15.681,27.09,40.52,23.51,61.57,74.19
1210.0,190.0,142.0,170.0,501.0,23.0,110.3,111.0,93.6,55.32,32.01,20.35,38.28,26.05,15.437,27.97,37.21,23.85,69.75,78.09
1162.0,198.0,144.0,176.0,517.0,22.5,108.61,110.0,95.39,56.59,33.09,21.92,38.8,27.21,15.747,32.26,42.75,27.61,67.78,81.95
1172.0,194.0,134.0,189.0,518.0,22.0,106.94,114.0,94.27,53.21,28.43,18.77,41.06,27.66,17.292,30.96,41.4,20.08,74.19,82.51
1221.0,189.0,135.0,175.0,505.0,25.0,114.21,108.0,96.5,60.34,36.92,24.45,36.16,22.97,16.48,30.31,43.17,27.68,68.82,82.74
1190.0,187.0,139.0,179.0,520.0,23.0,106.28,109.0,91.63,52.61,33.41,22.38,39.02,28.68,14.461,30.77,39.7,22.2,69.43,76.97
1250.0,197.0,142.0,170.0,502.0,26.0,112.79,108.0,101.3,62.86,31.75,21.52,38.44,25.87,15.583,31.72,43.84,25.19,76.11,86.21
1227.0,202.0,131.0,177.0,497.0,23.0,109.07,107.0,92.77,55.59,31.69,20.95,37.18,26.98,14.228,29.41,39.13,24.9,67.87,76.76
1234.0,192.0,144.0,175.0,509.0,23.5,113.6,112.0,99.11,58.67,28.93,20.86,40.44,30.27,14.611,31.45,39.08,26.61,72.5,85.1
1338.0,191.0,142.0,187.0,533.0,27.0,114.14,106.0,101.3,61.39,32.66,21.93,39.91,29.05,14.838,30.77,38.2,26.88,74.42,87.78
1221.0,191.0,141.0,169.0,495.0,22.0,110.32,106.0,96.4,60.76,31.47,21.26,35.64,24.08,14.565,25.87,45.33,27.99,68.41,79.78
1280.0,206.0,143.0,182.0,517.0,26.0,118.94,103.0,99.73,58.63,28.44,21.49,41.1,30.68,14.574,28.73,40.44,26.34,73.39,82.71
1245.0,177.0,144.0,170.0,500.0,26.0,108.59,108.0,93.73,55.39,31.95,22.45,38.34,28.13,14.194,28.74,44.51,26.77,66.96,80.54
1127.0,187.0,145.0,181.0,518.0,21.0,110.38,107.0,93.02,53.91,36.15,23.38,39.11,26.95,15.182,29.53,38.91,21.78,71.24,79.31
1198.0,181.0,140.0,170.0,494.0,21.0,101.74,107.0,90.15,55.12,33.74,22.17,35.03,24.54,14.213,27.71,39.73,23.36,66.79,75.2
1210.0,207.0,151.0,183.0,532.0,23.5,116.07,120.0,101.92,59.74,30.26,20.97,42.18,31.36,13.468,28.61,42.62,24.64,77.28,86.5
1238.0,202.0,141.0,184.0,522.0,25.0,116.29,107.0,98.76,58.76,28.67,18.84,40.0,27.84,15.499,27.06,39.16,25.72,73.04,85.98
